goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	      94	   1111344 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=500-10     	     110	   1141639 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	      48	   2428874 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	      45	   2297776 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	      49	   2322679 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	      49	   2226954 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	      49	   2333315 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10000_iterations=1000-10    	      54	   2159683 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	    1140	    105301 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	    1176	    106068 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	    1048	    107474 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	    1160	    109312 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	    1056	    106980 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=10-10      	    1038	    106624 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     259	    503195 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     255	    502603 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     254	    505449 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     253	    504129 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     252	    506782 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=50-10      	     259	    499030 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	      93	   1128474 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	      94	   1129132 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	      96	   1138779 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	     108	   1127999 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	      94	   1133224 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=50000_iterations=100-10     	      96	   1123916 ns/op	       0 B/op	       0 allocs/op
