goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=10_subset=500-10        	  310602	       396.2 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  305161	       400.8 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  308763	       400.6 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  298828	       398.4 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  311900	       414.7 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  300218	       389.4 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=500-10        	  302880	       393.4 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  313581	       390.6 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  293323	       391.8 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  305013	       396.6 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  316503	       394.3 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  317610	       393.6 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=500-10       	  323022	       392.1 ns/op	    6784 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  212869	       557.2 ns/op	    9728 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  217485	       559.6 ns/op	    9728 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  220346	       554.5 ns/op	    9728 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  219666	       555.0 ns/op	    9728 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  210310	       553.1 ns/op	    9728 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=500-10       	  217971	       561.1 ns/op	    9728 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  145003	       825.1 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  143142	       829.6 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  147468	       830.9 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  146312	       898.4 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  151046	       797.4 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=500-10      	  147093	       817.6 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   49693	      2392 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   50414	      2458 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   45824	      2420 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   50011	      2658 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   49665	      2387 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=500-10      	   49972	      2425 ns/op	   49152 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   30896	      3901 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   30651	      3896 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   30922	      3883 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   27508	      4471 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   30175	      3907 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=500-10     	   30579	      3946 ns/op	   90112 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    5968	     17944 ns/op	  409602 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    6558	     17418 ns/op	  409602 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    6568	     15757 ns/op	  409600 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    7896	     15436 ns/op	  409600 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    7861	     15400 ns/op	  409600 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=500-10     	    7754	     15312 ns/op	  409600 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    3452	     30032 ns/op	  811008 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    4082	     30897 ns/op	  811008 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    4092	     26793 ns/op	  811008 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    4092	     26885 ns/op	  811008 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    3798	     27492 ns/op	  811008 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=500-10    	    4113	     26818 ns/op	  811008 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     826	    127163 ns/op	 4005895 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	     902	    115787 ns/op	 4005893 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=500-10    	    1024	    113654 ns/op	 4005895 B/op	       1 allocs/op
